Name,County,Acres,Km2,Start Date,Contained Date,Notes
Jesusita,Santa Barbara,"8,733",35.3,"May 5, 2009","May 20, 2009",160 structures destroyed
Grouse,Mariposa,"3,047",12.3,"May 30, 2009","July 13, 2009",
Harden,Tuolumne,"1,661",6.7,"June 8, 2009","July 11, 2009",
Explosive,San Joaquin,"2,163",8.8,"June 19, 2009","June 19, 2009",
Lion Complex,Tulare,"3,988",16.1,"June 30, 2009","August 21, 2009",
Backbone,Trinity,"6,324",25.6,"July 1, 2009","July 24, 2009",1 fatality
Yankee,San Diego,"2,200",8.9,"July 11, 2009","July 14, 2009",
Fork,Inyo,"3,268",13.2,"July 18, 2009","July 27, 2009",
Tennant,Siskiyou,"3,225",13.1,"July 19, 2009","July 27, 2009",
Knight,Tuolumne,"6,130",24.8,"July 26, 2009","August 11, 2009",
Wildcat,Tuolumne,"1,100",4.5,"July 29, 2009","August 31, 2009",
Hat Creek Complex,Shasta,"11,269",45.6,"August 1, 2009","August 12, 2009",
W-4,Lassen,"1,500",6.1,"August 1, 2009","August 7, 2009",
Dodge Complex,Lassen,"1,600",6.5,"August 1, 2009","August 3, 2009",
Brown,Shasta,"1,000",4.0,"August 2, 2009","August 12, 2009",
Fairfield,Shasta,"1,664",6.7,"August 2, 2009","August 21, 2009",
Chalk (Shu Complex),Shasta,"6,895",27.9,"August 3, 2009","August 16, 2009",
Goose (Shu Complex),Shasta,"3,918",15.9,"August 3, 2009","August 17, 2009",
Cassel (Shu Complex),Shasta,"6,319",25.6,"August 3, 2009","August 14, 2009",
La Brea,Santa Barbara,"89,489",362.1,"August 8, 2009","August 23, 2009",2 buildings destroyed
Lockheed,Santa Cruz,"7,817",31.6,"August 12, 2009","August 23, 2009",13 structures destroyed
Coffin,Trinity,"1,300",5.3,"August 12, 2009","August 15, 2009",
Corral,San Joaquin,"12,200",49.4,"August 13, 2009","August 16, 2009",
Yuba,Yuba,"3,891",15.7,"August 14, 2009","August 24, 2009",
Red Rock,Siskiyou,"1,364",5.5,"August 21, 2009","September 4, 2009",
Morris,Los Angeles,"2,168",8.8,"August 25, 2009","September 3, 2009",
Bryson,Monterey,"3,383",13.7,"August 25, 2009","August 29, 2009",
Station,Los Angeles,"160,577",649.8,"August 26, 2009","October 16, 2009","209 Structures destroyed, 2 firefighters killed."
Big Meadows,Mariposa,"7,425",30.0,"August 26, 2009","September 10, 2009",
Gloria,Monterey,"6,437",26.0,"August 27, 2009","September 1, 2009",
Cottonwood,Riverside,"2,409",9.7,"August 27, 2009","August 31, 2009",
Pacheco,Santa Clara,"1,600",6.5,"August 29, 2009","August 30, 2009",
Oak Glen III,San Bernardino,"1,159",4.7,"August 30, 2009","September 8, 2009",
Oasis,Lake,"1,500",6.1,"September 7, 2009","September 12, 2009",
Guiberson,Ventura,"17,500",70.8,"September 22, 2009","October 1, 2009",1 building destroyed
Six,Yolo,"1,235",5.0,"October 1, 2009","October 1, 2009",
Sheep,San Bernardino,"7,128",28.8,"October 3, 2009","October 10, 2009",
Mill Creek #4,Humboldt,"2,750",11.1,"October 7, 2009","October 17, 2009",
