Name,County,Acres,Km2,Start Date,Contained Date,Notes
Cove,Kern,"1,122",4.5,"May 27, 2011","May 31, 2011",
Cougar,Modoc,"2,000",8.1,"June 8, 2011","June 13, 2011",
Antelope,Kern,"5,200",21.0,"June 19, 2011","June 21, 2011",2 structures destroyed
Quinn,Kern,"3,154",12.8,"June 21, 2011","June 22, 2011",
Stage,Tulare,"1,213",4.9,"June 27, 2011","July 2, 2011",
Lion,Tulare,"20,500",83.0,"July 8, 2011","October 10, 2011",
Scorpion Complex,Modoc,"2,945",11.9,"July 15, 2011","July 18, 2011",
Eagle,San Diego,"14,100",57.1,"July 21, 2011","July 29, 2011",
Annie,Modoc,"2,076",8.4,"August 18, 2011","August 21, 2011",
Motor,Mariposa,"5,231",21.2,"August 25, 2011","September 4, 2011",
Wells,San Bernardino,"1,723",7.0,"August 28, 2011","August 31, 2011",
Hill,San Bernardino,"1,135",4.6,"September 2, 2011","September 2, 2011",3 structures destroyed
Soda,San Luis Obispo,"1,528",6.2,"September 3, 2011","September 4, 2011",1 structures destroyed
Canyon,Kern,"14,585",59.0,"September 4, 2011","September 11, 2011",100 structures destroyed
Milton,San Joaquin,"1,122",4.5,"September 9, 2011","September 11, 2011",
Keene Complex,Kern,"2,577",10.4,"September 10, 2011","September 14, 2011",
Comanche Complex,Kern,"29,338",118.7,"September 10, 2011","September 14, 2011",Originated as 4 separate fires.[4]
Breckenridge Complex,Kern,"25,213",102.0,"September 10, 2011","September 17, 2011",
John,Inyo,"5,300",21.4,"September 13, 2011","September 16, 2011",
Tamarack,Mariposa,"1,011",4.1,"September 13, 2011","October 17, 2011",
65 Fire,Kern,"2,005",8.1,"September 23, 2011","September 23, 2011",
Ruth,Trinity,"1,460",5.9,"September 23, 2011","September 28, 2011",31 structures destroyed
Buckeye,Mono,"1,140",4.6,"September 25, 2011","September 27, 2011",
Great,San Diego,"2,135",8.6,"October 1, 2011","October 7, 2011",
