Name,County,Acres,Km2,Start Date,Contained Date,Notes,Ref
Round,Inyo,"7,000",28.3,"February 6, 2015","February 12, 2015",,[12]
Highway,Riverside,"1,049",4.2,"April 18, 2015","April 24, 2015",,[13]
Lake,San Bernardino,"31,359",126.9,"June 17, 2015","August 1, 2015",,[14]
Park Hill,San Luis Obispo,"1,791",7.2,"June 20, 2015","June 24, 2015",,[15]
North,San Bernardino,"4,250",17.2,"July 17, 2015","July 21, 2015",7 houses and 44 vehicles destroyed,[16]
Wragg,Napa,"8,051",32.6,"July 22, 2015","August 6, 2015",,[17]
Rocky,Lake,"69,438",281.0,"July 29, 2015","August 14, 2015",,[18]
Fork Complex,Shasta,"36,503",147.7,"July 30, 2015","November 3, 2015",,[19][20]
River Complex,Trinity,"77,081",311.9,"July 30, 2015","October 29, 2015",,[21]
Frog,Lassen,"4,863",19.7,"July 30, 2015","August 20, 2015",1 firefighter killed,[22]
Humboldt Lightning,Humboldt,"4,883",19.8,"July 30, 2015","August 19, 2015",,[23]
Mad River Complex,Humboldt,"73,137",296.0,"July 30, 2015","September 13, 2015",includes Route Complex Fire,[24]
Rough,Fresno,"151,623",613.6,"July 31, 2015","November 5, 2015",,[25]
Dodge,Lassen,"10,570",42.8,"August 3, 2015","August 17, 2015",,[26]
Gasquet,Del Norte,"30,361",122.9,"August 3, 2015","October 15, 2015","Fires: Feeder (100%), Coon (100%),
Bear (100%) and Peak (100% containment)",[27]
Jerusalem,Lake and Napa,"25,118",101.6,"August 9, 2015","August 25, 2015",,[28]
Cabin,Glendora,"1,723",7.0,"August 14, 2015","November 20, 2015",5 structures destroyed,[29]
Cuesta,San Luis Obispo,"2,446",9.9,"August 16, 2015","August 28, 2015",,[30]
Tesla,Alameda,"2,700",10.9,"August 19, 2015","August 22, 2015",,[31]
Butte,Amador,"70,868",286.8,"September 9, 2015","October 1, 2015","2 civilians fatalities
475 residences & 343 outbuildings destroyed",[32]
Valley,Lake,"76,067",307.8,"September 12, 2015","October 15, 2015","4 civilian fatalities, 1,955 structures destroyed; 4th most destructive wildfire in modern California history (as of 2018)[33]",[34]
Tassajara,Monterey,"1,086",4.4,"September 19, 2015","September 27, 2015",1 civilian fatality,[35]
Solimar,Ventura,"1,388",5.6,"December 25, 2015","December 29, 2015",1 minor ankle injury[36],[37]
"
",,,,,,,
