Name,County,Acres,Km2,Start Date,Contained Date,Notes
Panther,Tehama,"6,896",27.9,"May 1, 2013","May 9, 2013",
Summit,Riverside,"3,161",12.8,"May 1, 2013","May 4, 2013",1 structure destroyed
Springs,Ventura,"24,251",98.1,"May 2, 2013","May 9, 2013",
Grand,Kern,"4,346",17.6,"May 15, 2013","May 22, 2013",
San Felipe,San Diego,"2,650",10.7,"May 23, 2013","May 29, 2013",
General,San Diego,"2,500",10.1,"May 26, 2013","May 31, 2013",
White,Santa Barbara,"1,984",8.0,"May 27, 2013","June 5, 2013",
Powerhouse,Los Angeles,"30,274",122.5,"May 30, 2013","June 10, 2013",58 structures destroyed
Hathaway,Riverside,"3,870",15.7,"June 9, 2013","October 15, 2013",
Carstens,Mariposa,"1,708",6.9,"June 16, 2013","June 26, 2013",
Chariot,San Diego,"7,055",28.6,"July 6, 2013","July 15, 2013",149 structures destroyed
Mountain,Riverside,"27,531",111.4,"July 15, 2013","July 31, 2013",
Aspen,Fresno,"22,992",93.0,"July 22, 2013","September 8, 2013",
Forks Complex,Siskiyou,"37,246",150.7,"July 31, 2013","October 1, 2013",
Salmon River Complex,Siskiyou,"14,754",59.7,"July 31, 2013","August 31, 2013",
Falls,Riverside,"1,383",5.6,"August 5, 2013","August 9, 2013",
Power,Tuolumne,"1,070",4.3,"August 5, 2013","August 13, 2013",
Silver,Riverside,"20,292",82.1,"August 7, 2013","August 12, 2013",
Corral Complex,Humboldt,"12,503",50.6,"August 10, 2013","October 2, 2013",
American,Placer,"22,407",90.7,"August 11, 2013","August 29, 2013",
Swedes,Butte,"2,264",9.2,"August 16, 2013","August 22, 2013",
Rim,Tuolumne,"257,314","1,041.3","August 17, 2013","October 27, 2013",112 structures destroyed
Mission,Monterey,"4,500",18.2,"August 22, 2013","August 25, 2013",
Deer,Tehama,"11,429",46.3,"August 23, 2013","August 29, 2013",
Fish,Tulare,"2,060",8.3,"August 23, 2013","September 5, 2013",
Morgan,Contra Costa,"3,100",12.5,"September 8, 2013","September 14, 2013",Ignited at Mount Diablo.
Clover,Shasta,"8,073",32.7,"September 9, 2013","September 15, 2013","196 structures destroyed, 1 fatality"
DeLuz,San Diego,"2,236",9.0,"October 5, 2013","October 9, 2013",
McCabe,Sonoma,"3,505",14.2,"November 22, 2013","November 28, 2013",
"
",,,,,,
