Name,County,Acres,Start Date,Contained Date,Notes,Ref
Roberts,San Luis Obispo,"3,712","May 18, 2016","May 20, 2016",,[9]
Metz,Monterey,"3,876","May 22, 2016","May 25, 2016",,[10]
Coleman,Monterey,"2,520","June 4, 2016","June 17, 2016",,[11]
Pony,Siskiyou,"2,860","June 7, 2016","June 30, 2016",,[12]
Sherpa,Santa Barbara,"7,474","June 15, 2016","July 12, 2016",,[13]
Border,San Diego,"7,609","June 19, 2016","June 30, 2016","2 fatalities, 5 homes and 11 outbuildings destroyed",[14]
Pine,Ventura,"2,304","June 19, 2016","July 17, 2016",,[15]
San Gabriel Complex,Los Angeles,"5,399","June 20, 2016","July 23, 2016","Reservoir Fire burned 1,146 acres; Fish Fire burned 4,253 acres",[16]
Erskine,Kern,"48,019","June 23, 2016","July 12, 2016","2 fatalities, 285 homes destroyed, 12 damaged",[17]
Trailhead,Placer,"5,646","June 28, 2016","July 18, 2016",,[18]
Deer,Kern,"1,785","July 1, 2016","July 11, 2016",,[19]
Curry,Fresno,"2,944","July 1, 2016","July 5, 2016",,[20]
Sage,Los Angeles,"1,109","July 9, 2016","July 16, 2016",,[21]
Roblar,San Diego,"1,245","July 21, 2016","July 30, 2016",,[22]
Sand,Los Angeles,"41,432","July 22, 2016","August 3, 2016","2 fatalities, 18 homes destroyed, 4 damaged [23]",[24]
Soberanes,Monterey,"132,100","July 22, 2016","October 12, 2016","1 fatality, 3 injuries, 57 homes and 11 outbuildings destroyed.",[25]
Goose,Fresno,"2,241","July 30, 2016","August 9, 2016","4 homes, 5 outbuildings destroyed",[26]
Cold,Yolo,"5,731","August 2, 2016","August 12, 2016",2 outbuildings destroyed,[27]
Pilot,San Bernardino,"8,110","August 7, 2016","August 16, 2016",,[28]
Mineral,Fresno,"7,050","August 9, 2016","August 18, 2016",2 structures destroyed,[29]
Chimney,San Luis Obispo,"46,344","August 13, 2016","September 6, 2016",48 structures destroyed,[30]
Clayton,Lake,"3,929","August 13, 2016","August 26, 2016",300 buildings destroyed,[31]
Blue Cut,San Bernardino,"36,274","August 16, 2016","August 23, 2016","105 homes, 213 outbuildings destroyed",[32]
Cedar,Kern,"29,322","August 16, 2016","September 30, 2016",,[33]
Rey,Santa Barbara,"32,606","August 18, 2016","September 16, 2016",,[34]
Gap,Siskiyou,"33,867","August 27, 2016","September 17, 2016",,[35]
Bogart,Riverside,"1,470","August 30, 2016","September 2, 2016",1 outbuilding destroyed,[36]
Willard,Lassen,"2,575","September 11, 2016","September 22, 2016",5 structures destroyed,[37]
Owens River,Mono,"5,443","September 17, 2016","October 15, 2016",,[38]
Canyon,Santa Barbara,"12,518","September 17, 2016","September 24, 2016",1 firefighter killed in crash,[39]
Sawmill,Sonoma,"1,547","September 25, 2016","September 29, 2016",,[40]
Marshes,Tuolumne,"1,080","September 26, 2016","October 4, 2016",,[41]
Loma,Santa Clara,"4,474","September 26, 2016","October 12, 2016",28 structures destroyed,[42]
"
",,,,,,
